borrow_amount,borrow_amount_usd,borrow_time,borrow_tx_hash,borrower,bridge_7d,chain,defi_7d,loop_1h,loop_24h,loop_7d,receiver,stable_symbol,venue,bucket
500,500.5905000000001,2026-02-05 21:14:23.000 UTC,0xcea3c4a5b9e5faa97f42e466c1126db199c4c6908f80a9c27a0598e67b987952,1f1de251ee59f4272ac21ffda2bd4dfc40c81912,False,ethereum,False,False,False,False,1f1de251ee59f4272ac21ffda2bd4dfc40c81912,usdc,morpho_blue,E_idle_eoa
2421.022977,2420.909188920081,2026-02-14 01:53:35.000 UTC,0x2b210de8fa44a9e58a1660137e4ef9949a17bd09236df1d2b12d36652d146f8e,05b011922348325e7c9ece372560df92ea699886,False,ethereum,False,False,False,False,05b011922348325e7c9ece372560df92ea699886,usdt,morpho_blue,E_idle_eoa
20.489334,20.493554802804,2026-02-04 20:00:23.000 UTC,0xb92aab6e77039dc6107e233e4ac46b92ec34973e68a1bfa1a24decaa12abc4a8,05b011922348325e7c9ece372560df92ea699886,False,ethereum,False,False,False,False,05b011922348325e7c9ece372560df92ea699886,usdc,morpho_blue,E_idle_eoa
120000,120056.4,2026-02-06 06:25:35.000 UTC,0x200873ff066d55e977a93e98c9aecf49152cbe7033f1e9a00984a9601a7fed62,1b968c1eb2814bcaf20382d2d034aa1ede2bc6ea,False,ethereum,False,False,False,False,1b968c1eb2814bcaf20382d2d034aa1ede2bc6ea,usdc,morpho_blue,E_idle_eoa
50,50.024,2026-02-02 19:35:11.000 UTC,0x022998d712f1f622854575344d07977b1046819afe12b43b04eda2644d2a3129,d11615dd15b5c74d328c499b9d9aa842e2751dbf,False,ethereum,False,False,False,False,d11615dd15b5c74d328c499b9d9aa842e2751dbf,usdc,morpho_blue,E_idle_eoa
31700,31682.7235,2026-02-14 23:23:35.000 UTC,0x1df6fb026a66e48b3951fa86c916253b58dbec330e006c846fd3798eff1c3733,ed3a06b5790927c7952e320e4d1bcb09af0a0a03,False,ethereum,False,False,False,False,ed3a06b5790927c7952e320e4d1bcb09af0a0a03,usdc,morpho_blue,E_idle_eoa
3945,3945.721935,2026-02-16 11:37:47.000 UTC,0x4d1ecd57792ed34ff6105d178de2824019bf3113a563f0d408fecfe55ab234ee,7c3b7f9e7a1f4341d300c4dc19c44f14d692ae8e,False,ethereum,False,False,False,False,7c3b7f9e7a1f4341d300c4dc19c44f14d692ae8e,usdt,morpho_blue,E_idle_eoa
21.627711,21.637183937418,2026-02-23 07:00:23.000 UTC,0x676fd60d13f22c09b412d9878e0f2fc8c8b7fe8e98aba96b46725507b7d83f7c,05b011922348325e7c9ece372560df92ea699886,False,ethereum,False,False,False,False,05b011922348325e7c9ece372560df92ea699886,usdt,morpho_blue,E_idle_eoa
7000,7002.905000000001,2026-02-10 13:00:35.000 UTC,0xc3d9cfedbcb3a4b956f3d4cf950426cc7a866643b53e0978f6c4acb7437237d9,51129076a523b041f85b5a73b1d8522c6230034a,False,ethereum,False,False,False,False,51129076a523b041f85b5a73b1d8522c6230034a,usdc,morpho_blue,E_idle_eoa
1000,999.968,2026-02-11 17:53:35.000 UTC,0xf2ce7482ee79a0725a208dd9a5818730f606a3be80f2c0dfc27271f12a862fe8,9f03da73cf0f3a141404af735c16cf17427d81db,False,ethereum,False,False,False,False,9f03da73cf0f3a141404af735c16cf17427d81db,usdt,morpho_blue,E_idle_eoa
